brand,processor_brand,processor_name,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,Touchscreen,msoffice,latest_price,star_rating
ASUS,Intel,Celeron Dual,4 GB GB,LPDDR4,0 GB,512 GB,Windows,32-bit,0,Casual,No,No,24990,4.2
HP,Intel,Core i3,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,No,Yes,40750,4.1
DELL,Intel,Core i3,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,No,Yes,43000,4.1
ASUS,Intel,Core i3,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,No,No,38000,4.7
DELL,Intel,Core i3,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,No,Yes,37990,3.7
HP,Intel,Core i3,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,2,Casual,No,No,49279,4.5
Lenovo,Intel,Core i3,8 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,No,No,38999,3.6
ASUS,Intel,Core i3,8 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,No,No,41500,3
acer,Intel,Core i3,4 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,No,No,36999,0
DELL,Intel,Core i3,8 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,No,No,42900,0
ASUS,Intel,Celeron Dual,4 GB GB,LPDDR4,0 GB,512 GB,Windows,32-bit,0,Casual,No,No,21490,3.9
DELL,Intel,Core i3,8 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,No,No,41480,3.8
ASUS,Intel,Core i3,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,No,No,32990,2
ASUS,Intel,Core i3,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,No,No,38680,3.2
ASUS,Intel,Celeron Dual,4 GB GB,LPDDR4,0 GB,512 GB,Windows,32-bit,0,Casual,No,No,23990,4.1
DELL,Intel,Core i3,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,No,No,40390,3.2
ASUS,Intel,Core i3,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,No,No,33990,3.4
ASUS,Intel,Celeron Dual,4 GB GB,LPDDR4,0 GB,512 GB,Windows,32-bit,0,Casual,No,No,20490,3.9
DELL,Intel,Core i3,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,No,Yes,41490,5
DELL,Intel,Core i3,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,No,No,45490,4.3
DELL,Intel,Core i3,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,No,No,44490,4.3
ASUS,Intel,Core i3,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,No,Yes,41890,4.2
DELL,Intel,Core i3,4 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,No,Yes,42990,4.1
acer,Intel,Core i3,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,No,No,40990,4.2
DELL,Intel,Core i3,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,No,No,48990,4.1
DELL,Intel,Core i3,4 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,No,Yes,43590,0
DELL,Intel,Core i3,4 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,No,No,44690,4.3
ASUS,Intel,Core i3,4 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,No,No,40990,0
